palabra;definicion;grammatical;nivel2;tematica;nivel
jacket;a short coat;noun;B1 Preliminar;Clothes;
shower;a shower;noun;B1 Preliminar;House and Home;
side;a side;noun;B1 Preliminar;;
sight;a sight;noun;B1 Preliminar;;
site;a site;noun;B1 Preliminar;;
size;a size;noun;B1 Preliminar;Clothes;
skill;a skill;noun;B1 Preliminar;;
skin;a skin;noun;B1 Preliminar;Health;
slice;a slice;noun;B1 Preliminar;;
slide;a slide;noun;B1 Preliminar;Hobbies and Leisure;
snack;a small amount of food between meals;noun;B1 Preliminar;Food & drink;
frog;a small amphibian that jumps and lives near water;noun;B1 Preliminar;The Natural World;
cup;a small container with a handle for drinking;noun;B1 Preliminar;Food & drink;
model;a small copy of something;noun;B1 Preliminar;Hobbies and Leisure;
wood;a small forest;noun;B1 Preliminar;Places;
cat;a small furry animal often kept as a pet;noun;B1 Preliminar;;
bug;a small insect;noun;B1 Preliminar;;
bit;a small piece;noun;B1 Preliminar;;
mouse;a small rodent or computer device;noun;B1 Preliminar;Communications and Technology;
pea;a small round green vegetable;noun;B1 Preliminar;Food & drink;
dot;a small round mark or spot;noun;B1 Preliminar;Communications and Technology;
hut;a small simple building;noun;B1 Preliminar;;
ant;a small social insect;noun;B1 Preliminar;;
cookie;a small sweet baked snack;noun;B1 Preliminar;Food & drink;
soap;a soap;noun;B1 Preliminar;Health;
party;a social gathering;noun;B1 Preliminar;Hobbies and Leisure;
sock;a soft covering for the foot;noun;B1 Preliminar;;
cap;a soft flat hat with a curved part at the front;noun;B1 Preliminar;Clothes;
cheese;a solid food made from milk;noun;B1 Preliminar;Food & drink;
solve;a solve;noun;B1 Preliminar;;
sort;a sort;noun;B1 Preliminar;;
soul;a soul;noun;B1 Preliminar;;
speed;a speed;noun;B1 Preliminar;Transport;
spice;a spice;noun;B1 Preliminar;;
pepper;a spice or vegetable;noun;B1 Preliminar;Food & drink;
spite;a spite;noun;B1 Preliminar;;
golf;a sport played with clubs and balls;noun;B1 Preliminar;Sports & leisure;
spot;a spot;noun;B1 Preliminar;;
staff;a staff;noun;B1 Preliminar;Work;
stall;a stall;noun;B1 Preliminar;;
stamp;a stamp;noun;B1 Preliminar;;
bill;a statement of money owed;noun;B1 Preliminar;Shopping;
steak;a steak;noun;B1 Preliminar;Food & drink;
stream;a stream;noun;B1 Preliminar;Places;
street;a street;noun;B1 Preliminar;Places;
stress;a stress;noun;B1 Preliminar;Health;
belt;a strip of material worn around the waist;noun;B1 Preliminar;Clothes;
stripe;a stripe;noun;B1 Preliminar;Clothes;
gale;a strong wind;noun;B1 Preliminar;Weather;
studio;a studio;noun;B1 Preliminar;Entertainment and Media;
stuff;a stuff;noun;B1 Preliminar;;
style;a style;noun;B1 Preliminar;;
rap;a style of music;noun;B1 Preliminar;;
gas;a substance like air that is neither solid nor liquid;noun;B1 Preliminar;Environment;
subway;a subway;noun;B1 Preliminar;Places;
cake;a sweet baked dessert;noun;B1 Preliminar;Food & drink;
jam;a sweet food made from fruit boiled with sugar;noun;B1 Preliminar;Food & drink;
pear;a sweet fruit with a rounded bottom;noun;B1 Preliminar;Food & drink;
sugar;a sweet substance used in food;noun;B1 Preliminar;Food & drink;
mark;a symbol or grade given for work;noun;B1 Preliminar;Education;
logo;a symbol representing a company;noun;B1 Preliminar;Shopping;
letter;a symbol representing a sound or a written message;noun;B1 Preliminar;Language;
desk;a table for working at;noun;B1 Preliminar;Education;
tablet;a tablet;noun;B1 Preliminar;Health;
tree;a tall plant with a trunk;noun;B1 Preliminar;The Natural World;
cab;a taxi;noun;B1 Preliminar;Transport;
tense;a tense;noun;B1 Preliminar;;
quiz;a test of knowledge;noun;B1 Preliminar;Entertainment and Media;
oil;a thick liquid used in cooking or for machines;noun;B1 Preliminar;Food & drink;
thief;a thief;noun;B1 Preliminar;;
thing;a thing;noun;B1 Preliminar;;
thumb;a thumb;noun;B1 Preliminar;Health;
title;a title;noun;B1 Preliminar;;
toast;a toast;noun;B1 Preliminar;Food & drink;
toilet;a toilet;noun;B1 Preliminar;House and Home;
ruler;a tool for measuring or drawing straight lines;noun;B1 Preliminar;Education;
eraser;a tool for removing pencil marks;noun;B1 Preliminar;;
pencil;a tool for writing;noun;B1 Preliminar;;
pen;a tool for writing with ink;noun;B1 Preliminar;;
spoon;a tool with a bowl shape for eating;noun;B1 Preliminar;Food & drink;
knife;a tool with a sharp blade for cutting;noun;B1 Preliminar;Food & drink;
fork;a tool with prongs for eating;noun;B1 Preliminar;Food & drink;
topic;a topic;noun;B1 Preliminar;;
tower;a tower;noun;B1 Preliminar;House and Home;
kite;a toy flown in the wind;noun;B1 Preliminar;;
doll;a toy representing a person;noun;B1 Preliminar;Hobbies and Leisure;
track;a track;noun;B1 Preliminar;Sports & leisure;
path;a track for walking;noun;B1 Preliminar;House and Home;
trade;a trade;noun;B1 Preliminar;Work;
trend;a trend;noun;B1 Preliminar;;
trick;a trick;noun;B1 Preliminar;;
mango;a tropical fruit with orange flesh;noun;B1 Preliminar;;
trunk;a trunk;noun;B1 Preliminar;;
truth;a truth;noun;B1 Preliminar;;
tube;a tube;noun;B1 Preliminar;;
pipe;a tube for carrying liquids or gas;noun;B1 Preliminar;House and Home;
tuna;a tuna;noun;B1 Preliminar;Food & drink;
tune;a tune;noun;B1 Preliminar;;
tunnel;a tunnel;noun;B1 Preliminar;Places;
turkey;a turkey;noun;B1 Preliminar;Food & drink;
twin;a twin;noun;B1 Preliminar;;
cod;a type of fish;noun;B1 Preliminar;;
tyre;a tyre;noun;B1 Preliminar;;
union;a union;noun;B1 Preliminar;;
unit;a unit;noun;B1 Preliminar;;
word;a unit of language;noun;B1 Preliminar;Language;
user;a user;noun;B1 Preliminar;;
valley;a valley;noun;B1 Preliminar;Places;
value;a value;noun;B1 Preliminar;;
boat;a vehicle for water travel;noun;B1 Preliminar;Sports & leisure;
wall;a vertical structure forming a side of a building or room;noun;B1 Preliminar;House and Home;
ocean;a very large sea;noun;B1 Preliminar;Places;
whale;a very large sea mammal;noun;B1 Preliminar;;
baby;a very young child;noun;B1 Preliminar;Health;
virus;a virus;noun;B1 Preliminar;;
cloud;a visible mass of water vapor;noun;B1 Preliminar;Weather;
voice;a voice;noun;B1 Preliminar;;
volume;a volume;noun;B1 Preliminar;Education;
vowel;a vowel;noun;B1 Preliminar;;
waiter;a waiter;noun;B1 Preliminar;Food & drink;
wallet;a wallet;noun;B1 Preliminar;Clothes;
duck;a water bird with a wide flat beak;noun;B1 Preliminar;Food & drink;
road;a way for vehicles to travel;noun;B1 Preliminar;Places;
exit;a way out;noun;B1 Preliminar;Entertainment and Media;
gun;a weapon that fires bullets;noun;B1 Preliminar;;
webcam;a webcam;noun;B1 Preliminar;Education;
blog;a website with regular posts;noun;B1 Preliminar;Communications and Technology;
while;a while;noun;B1 Preliminar;;
milk;a white liquid from cows;noun;B1 Preliminar;Food & drink;
salt;a white substance used to flavor food;noun;B1 Preliminar;Food & drink;
window;a window;noun;B1 Preliminar;House and Home;
bush;a woody plant;noun;B1 Preliminar;The Natural World;
poet;a writer of poems;noun;B1 Preliminar;Work;
yard;a yard;noun;B1 Preliminar;;
lemon;a yellow citrus fruit;noun;B1 Preliminar;Food & drink;
butter;a yellow fat made from cream;noun;B1 Preliminar;Food & drink;
youth;a youth;noun;B1 Preliminar;;
zero;a zero;noun;B1 Preliminar;;
zone;a zone;noun;B1 Preliminar;;
hobby;an activity done for pleasure;noun;B1 Preliminar;Hobbies and Leisure;
game;an activity with rules;noun;B1 Preliminar;Sports & leisure;
woman;an adult female;noun;B1 Preliminar;;
man;an adult male;noun;B1 Preliminar;;
zebra;an African animal like a horse with black and white stripes;noun;B1 Preliminar;The Natural World;
plane;an aircraft;noun;B1 Preliminar;;
vet;an animal doctor;noun;B1 Preliminar;;
pet;an animal kept at home for companionship and pleasure;noun;B1 Preliminar;;
bird;an animal with feathers and wings that can fly;noun;B1 Preliminar;The Natural World;
dog;an animal with four legs that people keep as a pet or to do work;noun;B1 Preliminar;;
field;an area of open land;noun;B1 Preliminar;Places;
prize;an award for winning;noun;B1 Preliminar;Sports & leisure;
bean;an edible seed from a pod;noun;B1 Preliminar;Food & drink;
gap;an empty space;noun;B1 Preliminar;;
oven;an enclosed compartment for cooking;noun;B1 Preliminar;House and Home;
clown;an entertainer who makes people laugh;noun;B1 Preliminar;;
rubber;an eraser;noun;B1 Preliminar;Education;
bee;an insect that makes honey;noun;B1 Preliminar;The Natural World;
pizza;an Italian dish with cheese and toppings on bread;noun;B1 Preliminar;Food & drink;
toy;an object for children to play with;noun;B1 Preliminar;House and Home;
carrot;an orange root vegetable;noun;B1 Preliminar;Food & drink;
coat;an outer garment with sleeves;noun;B1 Preliminar;Clothes;
egg;an oval object laid by birds, used as food;noun;B1 Preliminar;Food & drink;
meat;animal flesh used as food;noun;B1 Preliminar;Food & drink;
war;armed conflict;noun;B1 Preliminar;;
gum;chewing gum or tissue in the mouth;noun;B1 Preliminar;;
towel;cloth for drying;noun;B1 Preliminar;House and Home;
money;coins and notes used to buy things;noun;B1 Preliminar;Shopping;
salad;cold dish of vegetables;noun;B1 Preliminar;Food & drink;
ink;colored liquid for writing;noun;B1 Preliminar;;
art;creative subjects like drawing and painting;noun;B1 Preliminar;Education;
moon;Earth's natural satellite;noun;B1 Preliminar;The Natural World;
lip;edge of the mouth;noun;B1 Preliminar;;
bat;equipment for hitting a ball;noun;B1 Preliminar;Sports & leisure;
yoga;exercises for physical and mental health;noun;B1 Preliminar;Sports & leisure;
fire;flames and heat;noun;B1 Preliminar;The Natural World;
meal;food eaten at a particular time;noun;B1 Preliminar;Food & drink;
bread;food made from flour and baked;noun;B1 Preliminar;Food & drink;
ice;frozen water;noun;B1 Preliminar;Food & drink;
luck;good fortune;noun;B1 Preliminar;Sports & leisure;
cereal;grain food eaten for breakfast;noun;B1 Preliminar;Food & drink;
stone;hard solid mineral;noun;B1 Preliminar;The Natural World;
rock;hard stone;noun;B1 Preliminar;Places;
middle;having the quality of being middle;noun;B1 Preliminar;;
age;how old someone is;noun;B1 Preliminar;;
flu;influenza, a viral illness causing fever and weakness;noun;B1 Preliminar;Health;
dad;informal word for father;noun;B1 Preliminar;;
mum;informal word for mother;noun;B1 Preliminar;;
data;information stored in a computer;noun;B1 Preliminar;Communications and Technology;
pasta;Italian food made from flour and water;noun;B1 Preliminar;Food & drink;
coast;land next to the sea;noun;B1 Preliminar;The Natural World;
farm;land used for growing crops or keeping animals;noun;B1 Preliminar;Places;
juice;liquid from fruit;noun;B1 Preliminar;Food & drink;
sauce;liquid served with food to add flavor;noun;B1 Preliminar;Food & drink;
sex;male or female;noun;B1 Preliminar;;
noon;midday;noun;B1 Preliminar;Time;
army;military forces;noun;B1 Preliminar;Work;
cash;money in coins or notes;noun;B1 Preliminar;Shopping;
tax;money paid to government;noun;B1 Preliminar;;
wind;moving air;noun;B1 Preliminar;Weather;
song;music with words;noun;B1 Preliminar;;
toe;one of the five digits at the end of the foot;noun;B1 Preliminar;Health;
finger;one of the five digits on the hand;noun;B1 Preliminar;Health;
leg;one of the limbs on which a person or animal walks;noun;B1 Preliminar;Health;
month;one of twelve divisions of a year;noun;B1 Preliminar;Time;
page;one side of a sheet of paper in a book;noun;B1 Preliminar;;
music;organized sound;noun;B1 Preliminar;Education;
job;paid employment;noun;B1 Preliminar;Work;
visa;permission to enter a country;noun;B1 Preliminar;Transport;
sport;physical games and competitions;noun;B1 Preliminar;Sports & leisure;
tip;pointed end or advice;noun;B1 Preliminar;;
sir;polite address for a man;noun;B1 Preliminar;;
flour;powder made from grain;noun;B1 Preliminar;Food & drink;
news;recent events;noun;B1 Preliminar;Entertainment and Media;
beach;sandy shore by the sea;noun;B1 Preliminar;Hobbies and Leisure;
grass;short plants covering the ground;noun;B1 Preliminar;The Natural World;
grape;small round fruit that grows in bunches;noun;B1 Preliminar;Food & drink;
wool;soft hair from sheep;noun;B1 Preliminar;The Natural World;
seat;something to sit on;noun;B1 Preliminar;House and Home;
fuel;substance providing energy;noun;B1 Preliminar;Transport;
food;substances eaten to provide nutrition;noun;B1 Preliminar;Food & drink;
fruit;sweet food from plants;noun;B1 Preliminar;Food & drink;
candy;sweet food made with sugar;noun;B1 Preliminar;Food & drink;
honey;sweet sticky substance made by bees;noun;B1 Preliminar;Food & drink;
price;the amount of money something costs;noun;B1 Preliminar;Shopping;
space;the area beyond Earth's atmosphere;noun;B1 Preliminar;The Natural World;
uncle;the brother of your parent;noun;B1 Preliminar;;
cousin;the child of your aunt or uncle;noun;B1 Preliminar;;
fare;the cost of travel;noun;B1 Preliminar;Transport;
roof;the covering on top of a building;noun;B1 Preliminar;House and Home;
euro;the currency of many European countries;noun;B1 Preliminar;Shopping;
world;the earth;noun;B1 Preliminar;The Natural World;
hair;the fine threads growing on the head and body;noun;B1 Preliminar;Health;
face;the front part of the head with eyes, nose, and mouth;noun;B1 Preliminar;Health;
air;the invisible mixture of gases surrounding Earth;noun;B1 Preliminar;The Natural World;
knee;the joint between the thigh and lower leg;noun;B1 Preliminar;Health;
dinner;the main meal of the day;noun;B1 Preliminar;Food & drink;
mouth;the opening in the face for eating and speaking;noun;B1 Preliminar;;
eye;the organ of sight in the face;noun;B1 Preliminar;Health;
ear;the organ on the side of the head used for hearing;noun;B1 Preliminar;Health;
nose;the organ used for breathing and smelling;noun;B1 Preliminar;Health;
neck;the part connecting the head to the body;noun;B1 Preliminar;;
wing;the part of a bird or insect used for flying;noun;B1 Preliminar;;
arm;the part of the body between the shoulder and the hand;noun;B1 Preliminar;Health;
foot;the part of the leg below the ankle;noun;B1 Preliminar;Health;
sky;the region of the atmosphere seen from Earth;noun;B1 Preliminar;Places;
aunt;the sister of your parent;noun;B1 Preliminar;;
fur;the soft thick hair covering the body of an animal;noun;B1 Preliminar;The Natural World;
sun;the star at the center of our solar system;noun;B1 Preliminar;The Natural World;
plot;the story of a book or film;noun;B1 Preliminar;Entertainment and Media;
floor;the surface you walk on inside;noun;B1 Preliminar;House and Home;
night;the time when it is dark;noun;B1 Preliminar;Time;
head;the top part of the body containing the brain;noun;B1 Preliminar;Health;
sum;the total;noun;B1 Preliminar;;
web;the World Wide Web or a network of connected items;noun;B1 Preliminar;Education;
fog;thick cloud near the ground;noun;B1 Preliminar;Weather;
paper;thin material for writing on;noun;B1 Preliminar;;
sand;tiny grains of stone found on beaches;noun;B1 Preliminar;Places;
run;to move quickly;noun;B1 Preliminar;Health;
pair;two items of the same kind;noun;B1 Preliminar;;
storm;violent weather;noun;B1 Preliminar;Weather;
heat;warmth;noun;B1 Preliminar;Weather;
view;what can be seen;noun;B1 Preliminar;;
rice;white or brown grains used as food;noun;B1 Preliminar;Food & drink;
cheque;;noun;B1 Preliminar;Shopping;
dollar;;noun;B1 Preliminar;Shopping;
luxury;;noun;B1 Preliminar;Shopping;
boxing;;noun;B1 Preliminar;Sports & leisure;
diving;;noun;B1 Preliminar;Sports & leisure;
hockey;;noun;B1 Preliminar;Sports & leisure;
league;;noun;B1 Preliminar;Sports & leisure;
member;;noun;B1 Preliminar;Sports & leisure;
racing;;noun;B1 Preliminar;Sports & leisure;
racket;;noun;B1 Preliminar;Sports & leisure;
riding;;noun;B1 Preliminar;Sports & leisure;
season;;noun;B1 Preliminar;Sports & leisure;
skiing;;noun;B1 Preliminar;Sports & leisure;
soccer;;noun;B1 Preliminar;Sports & leisure;
squash;;noun;B1 Preliminar;Sports & leisure;
tennis;;noun;B1 Preliminar;Sports & leisure;
ticket;;noun;B1 Preliminar;Sports & leisure;
autumn;;noun;B1 Preliminar;The Natural World;
branch;;noun;B1 Preliminar;The Natural World;
flower;;noun;B1 Preliminar;The Natural World;
jungle;;noun;B1 Preliminar;The Natural World;
nature;;noun;B1 Preliminar;The Natural World;
planet;;noun;B1 Preliminar;The Natural World;
sunset;;noun;B1 Preliminar;The Natural World;
minute;;noun;B1 Preliminar;Time;
moment;;noun;B1 Preliminar;Time;
border;;noun;B1 Preliminar;Transport;
driver;;noun;B1 Preliminar;Transport;
flight;;noun;B1 Preliminar;Transport;
petrol;;noun;B1 Preliminar;Transport;
rocket;;noun;B1 Preliminar;Transport;
breeze;;noun;B1 Preliminar;Weather;
artist;;noun;B1 Preliminar;Work;
banker;;noun;B1 Preliminar;Work;
barber;;noun;B1 Preliminar;Work;
career;;noun;B1 Preliminar;Work;
farmer;;noun;B1 Preliminar;Work;
lawyer;;noun;B1 Preliminar;Work;
sailor;;noun;B1 Preliminar;Work;
salary;;noun;B1 Preliminar;Work;
singer;;noun;B1 Preliminar;Work;
worker;;noun;B1 Preliminar;Work;
accent;;noun;B1 Preliminar;;
action;;noun;B1 Preliminar;;
advice;;noun;B1 Preliminar;;
agency;;noun;B1 Preliminar;;
amount;;noun;B1 Preliminar;;
author;;noun;B1 Preliminar;;
basket;;noun;B1 Preliminar;;
battle;;noun;B1 Preliminar;;
beauty;;noun;B1 Preliminar;;
cattle;;noun;B1 Preliminar;;
chance;;noun;B1 Preliminar;;
choice;;noun;B1 Preliminar;;
couple;;noun;B1 Preliminar;;
credit;;noun;B1 Preliminar;;
custom;;noun;B1 Preliminar;;
detail;;noun;B1 Preliminar;;
effect;;noun;B1 Preliminar;;
effort;;noun;B1 Preliminar;;
ending;;noun;B1 Preliminar;;
energy;;noun;B1 Preliminar;;
engine;;noun;B1 Preliminar;;
exams.;;noun;B1 Preliminar;;
